Column1,Column2
11 13 18 31 48 57,25
30 31 32 39 41 43,51
01 12 41 51 52 55,14
01 07 09 20 43 58,2
19 29 31 42 51 52,39
01 03 04 13 15 18,31
05 21 23 25 31 33,43
04 15 28 31 46 47,54
02 03 13 36 43 50,37
04 06 28 34 40 50,18
04 11 16 19 26 58,53
04 14 22 36 42 57,30
10 13 38 42 49 54,1
05 20 23 34 46 48,29
12 13 19 30 41 48,25
03 20 33 34 54 55,52
02 08 11 33 45 47,18
10 17 24 26 44 53,22
09 11 19 42 49 59,38
11 18 25 38 48 56,54
04 14 30 31 54 58,13
27 35 41 46 47 55,17
07 22 30 32 40 48,42
11 27 34 35 42 51,53
10 14 29 36 41 55,44
03 04 52 53 57 58,28
05 29 36 47 55 57,13
11 15 38 44 46 55,54
03 09 15 29 48 49,17
01 07 27 40 52 59,44
06 34 42 44 45 51,7
12 20 26 38 52 58,59
02 18 24 35 49 50,33
08 12 32 35 42 45,3
09 21 22 47 52 53,58
23 39 41 51 54 56,33
09 10 16 31 35 50,20
09 17 18 29 32 40,48
10 33 34 39 41 46,12
02 38 39 42 48 51,19
15 27 29 41 42 50,21
01 09 36 46 51 56,29
01 08 18 41 48 57,3
08 36 39 52 54 55,35
01 05 07 15 31 41,52
03 18 19 41 53 57,24
03 35 42 51 55 58,46
01 07 31 32 42 52,22
06 15 26 41 55 56,8
03 33 34 46 54 59,31
03 11 20 38 52 57,19
08 15 17 20 22 48,6
11 22 30 37 43 46,19
03 10 14 22 24 46,57
09 29 38 40 48 57,50
02 09 20 22 32 46,56
11 28 30 44 47 59,10
05 12 25 51 54 59,44
02 04 06 13 46 51,30
08 21 25 32 33 49,57
13 14 16 19 22 25,30
03 33 38 45 52 58,39
06 09 19 24 27 41,38
06 08 12 19 20 51,1
14 25 39 41 48 56,6
12 28 31 36 47 48,51
15 23 35 42 54 57,25
25 27 43 45 48 51,6
05 13 34 40 45 57,26
02 08 09 29 39 49,17
08 12 39 51 52 56,40
12 16 26 37 45 46,38
07 13 14 15 18 35,16
17 20 30 50 51 57,31
15 20 36 41 51 52,26
16 19 24 27 30 57,32
22 23 40 45 53 57,56
09 21 25 28 42 56,14
01 14 24 30 38 51,26
10 36 39 40 50 52,9
10 12 14 24 31 39,30
04 05 12 23 39 57,53
35 45 46 50 52 56,3
03 06 12 19 42 47,27
18 22 33 37 54 57,27
11 32 38 41 52 57,49
01 04 14 28 31 58,59
08 25 27 31 34 45,21
01 16 18 33 51 57,29
04 31 43 46 49 51,9
10 25 38 51 52 56,37
07 11 28 29 30 46,8
08 27 28 32 45 51,13
05 07 24 32 45 58,11
06 20 38 48 52 54,46
02 12 46 51 53 55,5
03 08 22 27 40 41,33
04 11 15 18 39 46,48
02 19 23 28 37 48,42
02 10 28 30 39 52,7
