"Dataset"
""
"Column1 Column2 Column3Column4 Column5 Column6"
"03 20 33 34 54 55"
"02 08 11 33 45 47"
"10 17 24 26 44 53"
"09 11 19 42 49 59"
"11 18 25 38 48 56"
"04 14 30 31 54 58"
"27 35 41 46 47 55"
"07 22 30 32 40 48"
"11 27 34 35 42 51"
"10 14 29 36 41 55"
"03 04 52 53 57 58"
"05 29 36 47 55 57"
"11 15 38 44 46 55"
"03 09 15 29 48 49"
"01 07 27 40 52 59"
"06 34 42 44 45 51"
"12 20 26 38 52 58"
"02 18 24 35 49 50"
"08 12 32 35 42 45"
"09 21 22 47 52 53"
"23 39 41 51 54 56"
"09 10 16 31 35 50"
"09 17 18 29 32 40"
"10 33 34 39 41 46"
"02 38 39 42 48 51"
"15 27 29 41 42 50"
"01 09 36 46 51 56"
"01 08 18 41 48 57"
"08 36 39 52 54 55"
"01 05 07 15 31 41"
"03 18 19 41 53 57"
"03 35 42 51 55 58"
"01 07 31 32 42 52"
"06 15 26 41 55 56"
"03 33 34 46 54 59"
"03 11 20 38 52 57"
"08 15 17 20 22 48"
"11 22 30 37 43 46"
"03 10 14 22 24 46"
"09 29 38 40 48 57"
"02 09 20 22 32 46"
"11 28 30 44 47 59"
"05 12 25 51 54 59"
"02 04 06 13 46 51"
"08 21 25 32 33 49"
"13 14 16 19 22 25"
"03 33 38 45 52 58"
"06 09 19 24 27 41"
"06 08 12 19 20 51"
"14 25 39 41 48 56"
"12 28 31 36 47 48"
"15 23 35 42 54 57"
"25 27 43 45 48 51"
"05 13 34 40 45 57"
"02 08 09 29 39 49"
"08 12 39 51 52 56"
"12 16 26 37 45 46"
"07 13 14 15 18 35"
"17 20 30 50 51 57"
"15 20 36 41 51 52"
"16 19 24 27 30 57"
"22 23 40 45 53 57"
"09 21 25 28 42 56"
"01 14 24 30 38 51"
"10 36 39 40 50 52"
"10 12 14 24 31 39"
"04 05 12 23 39 57"
"35 45 46 50 52 56"
"03 06 12 19 42 47"
"18 22 33 37 54 57"
"11 32 38 41 52 57"
"01 04 14 28 31 58"
"08 25 27 31 34 45"
"01 16 18 33 51 57"
"04 31 43 46 49 51"
"10 25 38 51 52 56"
"07 11 28 29 30 46"
"08 27 28 32 45 51"
"05 07 24 32 45 58"
"06 20 38 48 52 54"
"02 12 46 51 53 55"
"03 08 22 27 40 41"
"04 11 15 18 39 46"
"02 19 23 28 37 48"
"02 10 28 30 39 52"
"01 13 16 37 47 50"
"09 10 11 35 44 59"
"04 07 18 19 32 53"
"10 28 32 33 35 39"
"11 18 33 34 39 56"
"03 23 41 42 44 54"
"03 13 17 22 40 48"
"21 40 42 44 53 55"
"14 21 27 34 50 58"
"15 16 17 20 25 53"
"02 05 14 24 27 30"
"06 10 20 26 28 45"
"03 04 07 19 20 52"
"05 13 31 35 36 37"
"13 15 20 38 45 46"
"39 41 42 44 47 53"
"01 10 19 22 32 50"
"12 15 16 34 40 58"
"07 13 17 20 51 59"
"03 06 19 26 37 54"
"03 08 20 21 55 59"
"03 22 30 34 47 55"
"04 10 19 29 34 42"
"10 17 22 40 47 50"
"04 12 13 18 21 42"
"16 19 35 37 39 54"
"06 10 31 48 52 54"
"20 21 36 41 54 59"
"12 18 29 34 48 56"
"08 15 20 28 38 59"
"04 13 27 28 40 42"
"03 15 19 37 38 51"
"26 29 41 43 44 50"
"01 04 16 24 27 35"
"06 13 16 21 35 40"
"02 20 35 38 39 47"
"31 32 38 51 57 58"
"01 29 44 46 50 57"
"18 25 27 30 48 53"
"08 24 27 28 50 59"
"06 19 28 31 34 46"
"11 12 16 25 41 49"
"26 34 41 43 55 57"
"04 22 28 30 35 47"
"23 31 37 49 51 57"
"02 07 13 15 27 42"
"06 25 35 41 53 57"
"01 16 20 23 34 45"
"16 20 37 40 48 49"
"12 17 33 38 50 59"
"01 09 23 52 53 57"
"08 10 19 23 26 43"
"13 37 40 45 47 52"
"07 09 19 41 48 53"
"15 26 29 30 42 51"
"07 22 24 36 40 53"
"03 14 15 41 42 48"
"03 04 19 36 43 55"
"23 32 35 36 39 44"
"08 11 42 51 54 59"
"14 27 28 31 45 52"
"03 22 23 26 31 55"
"07 08 18 45 54 55"
"03 18 19 27 37 50"
"03 07 14 19 32 46"
"21 23 28 34 45 58"
"17 18 31 43 48 50"
"12 33 36 43 54 55"
"17 30 35 41 45 54"
"05 06 28 31 32 43"
"15 19 24 36 40 49"
"32 34 49 52 57 58"
"05 08 11 30 34 49"
"02 14 25 29 34 58"
"04 11 12 32 44 46"
"01 09 21 22 31 42"
"01 04 11 23 33 34"
"10 15 41 44 49 54"
"09 10 24 32 50 57"
"07 08 15 39 40 58"
"06 30 32 37 39 43"
"02 10 21 31 32 46"
"03 12 25 53 57 59"
"12 13 22 36 37 46"
"10 15 26 31 38 44"
"04 05 06 43 47 57"
"07 16 36 44 46 53"
"11 20 32 43 53 59"
"14 27 31 34 42 48"
"01 18 22 32 33 37"
"03 23 40 53 57 58"
"11 13 14 31 45 54"
"01 10 24 35 38 48"
"23 24 25 34 36 37"
"10 15 22 33 36 41"
"02 23 25 47 51 54"
