Bonus #,Winning Numbers,Draw Date,Extra #
14,01 12 41 51 52 55,02/08/2025,
2,01 07 09 20 43 58,02/05/2025,
39,19 29 31 42 51 52,02/01/2025,
31,01 03 04 13 15 18,01/29/2025,
43,05 21 23 25 31 33,01/25/2025,
54,04 15 28 31 46 47,01/22/2025,
37,02 03 13 36 43 50,01/18/2025,
18,04 06 28 34 40 50,01/15/2025,
53,04 11 16 19 26 58,01/11/2025,
30,04 14 22 36 42 57,01/08/2025,
1,10 13 38 42 49 54,01/04/2025,
29,05 20 23 34 46 48,01/01/2025,
25,12 13 19 30 41 48,12/28/2024,
52,03 20 33 34 54 55,12/25/2024,
18,02 08 11 33 45 47,12/21/2024,
22,10 17 24 26 44 53,12/18/2024,
38,09 11 19 42 49 59,12/14/2024,
54,11 18 25 38 48 56,12/11/2024,
13,04 14 30 31 54 58,12/07/2024,
17,27 35 41 46 47 55,12/04/2024,
42,07 22 30 32 40 48,11/30/2024,
53,11 27 34 35 42 51,11/27/2024,
44,10 14 29 36 41 55,11/23/2024,
28,03 04 52 53 57 58,11/20/2024,
13,05 29 36 47 55 57,11/16/2024,
54,11 15 38 44 46 55,11/13/2024,
17,03 09 15 29 48 49,11/09/2024,
44,01 07 27 40 52 59,11/06/2024,
7,06 34 42 44 45 51,11/02/2024,
59,12 20 26 38 52 58,10/30/2024,
33,02 18 24 35 49 50,10/26/2024,
3,08 12 32 35 42 45,10/23/2024,
58,09 21 22 47 52 53,10/19/2024,
33,23 39 41 51 54 56,10/16/2024,
20,09 10 16 31 35 50,10/12/2024,
48,09 17 18 29 32 40,10/09/2024,
12,10 33 34 39 41 46,10/05/2024,
19,02 38 39 42 48 51,10/02/2024,
21,15 27 29 41 42 50,09/28/2024,
29,01 09 36 46 51 56,09/25/2024,
3,01 08 18 41 48 57,09/21/2024,
35,08 36 39 52 54 55,09/18/2024,
52,01 05 07 15 31 41,09/14/2024,
24,03 18 19 41 53 57,09/11/2024,
46,03 35 42 51 55 58,09/07/2024,
22,01 07 31 32 42 52,09/04/2024,
8,06 15 26 41 55 56,08/31/2024,
31,03 33 34 46 54 59,08/28/2024,
19,03 11 20 38 52 57,08/24/2024,
6,08 15 17 20 22 48,08/21/2024,
19,11 22 30 37 43 46,08/17/2024,
57,03 10 14 22 24 46,08/14/2024,
50,09 29 38 40 48 57,08/10/2024,
56,02 09 20 22 32 46,08/07/2024,
10,11 28 30 44 47 59,08/03/2024,
44,05 12 25 51 54 59,07/31/2024,
30,02 04 06 13 46 51,07/27/2024,
57,08 21 25 32 33 49,07/24/2024,
30,13 14 16 19 22 25,07/20/2024,
39,03 33 38 45 52 58,07/17/2024,
38,06 09 19 24 27 41,07/13/2024,
1,06 08 12 19 20 51,07/10/2024,
6,14 25 39 41 48 56,07/06/2024,
51,12 28 31 36 47 48,07/03/2024,
25,15 23 35 42 54 57,06/29/2024,
6,25 27 43 45 48 51,06/26/2024,
26,05 13 34 40 45 57,06/22/2024,
17,02 08 09 29 39 49,06/19/2024,
40,08 12 39 51 52 56,06/15/2024,
38,12 16 26 37 45 46,06/12/2024,
16,07 13 14 15 18 35,06/08/2024,
31,17 20 30 50 51 57,06/05/2024,
26,15 20 36 41 51 52,06/01/2024,
32,16 19 24 27 30 57,05/29/2024,
56,22 23 40 45 53 57,05/25/2024,
14,09 21 25 28 42 56,05/22/2024,
26,01 14 24 30 38 51,05/18/2024,
9,10 36 39 40 50 52,05/15/2024,
30,10 12 14 24 31 39,05/11/2024,
53,04 05 12 23 39 57,05/08/2024,
3,35 45 46 50 52 56,05/04/2024,
27,03 06 12 19 42 47,05/01/2024,
27,18 22 33 37 54 57,04/27/2024,
49,11 32 38 41 52 57,04/24/2024,
59,01 04 14 28 31 58,04/20/2024,
21,08 25 27 31 34 45,04/17/2024,
29,01 16 18 33 51 57,04/13/2024,
9,04 31 43 46 49 51,04/10/2024,
37,10 25 38 51 52 56,04/06/2024,
8,07 11 28 29 30 46,04/03/2024,
13,08 27 28 32 45 51,03/30/2024,
11,05 07 24 32 45 58,03/27/2024,
46,06 20 38 48 52 54,03/23/2024,
5,02 12 46 51 53 55,03/20/2024,
33,03 08 22 27 40 41,03/16/2024,
48,04 11 15 18 39 46,03/13/2024,
42,02 19 23 28 37 48,03/09/2024,
7,02 10 28 30 39 52,03/06/2024,
