Draw Date,Winning Numbers,Bonus #,Extra #
11/29/2023,20 21 36 41 54 59,32,
07/16/2022,20 22 27 37 42 56,14,
05/14/2022,20 22 24 25 29 51,35,
11/20/2021,20 23 25 39 40 46,21,
10/27/2021,20 25 26 29 38 39,41,
05/05/2021,20 22 28 30 51 54,14,
04/15/2020,20 33 34 39 40 53,2,
02/02/2019,20 30 39 45 46 53,44,
01/26/2019,20 24 27 34 35 59,56,
07/01/2017,20 32 40 46 52 54,16,
04/27/2016,20 31 41 43 48 59,46,
01/13/2016,20 31 34 40 42 54,11,
05/07/2014,20 21 29 32 45 48,41,
12/28/2013,20 26 36 43 45 58,34,
11/24/2012,20 31 33 41 48 56,50,
06/16/2012,20 34 36 40 41 51,43,
01/11/2012,20 33 49 51 52 56,17,
12/19/2007,20 22 31 32 43 45,57,9
10/10/2007,20 23 26 29 50 56,39,40
10/18/2006,20 24 34 36 37 56,11,
06/28/2006,20 27 29 50 53 59,26,
02/25/2006,20 28 37 40 52 53,32,
01/28/2006,20 34 36 47 52 59,35,
05/18/2005,20 34 41 47 54 57,58,
01/29/2005,20 30 39 46 47 58,59,
01/22/2005,20 28 38 40 44 59,9,
06/30/2004,20 26 31 39 42 55,44,
05/08/2004,20 21 30 36 44 58,19,
09/03/2003,20 30 33 36 38 57,13,
01/22/2003,20 24 31 38 43 47,29,
